date,TWII,TWII_Open,TWII_High,TWII_Low,SOX,TSMC_TW,TSMC_Vol,TSM_US,ELEC,FIN,USDTWD,ADR_Premium
2021-01-15,15616.3896484375,15987.16015625,16041.58984375,15615.1103515625,2992.77001953125,544.36627197265625,92010500,114.56414031982422,56.498870849609375,15.16989803314209,27.986900329589844,17.799185642313976
2021-01-18,15612,15676.4501953125,15676.4501953125,15320.9697265625,2992.77001953125,549.801025390625,45726476,114.56414031982422,56.498870849609375,15.044387817382812,27.9822998046875,16.615574480529951
2021-01-19,15877.3701171875,15716.6396484375,15928.1396484375,15716.6396484375,3093.320068359375,567.9163818359375,50672866,120.11715698242188,57.911338806152344,15.027653694152832,27.982200622558594,18.367509457210108
2021-01-20,15806.1796875,15934.849609375,16004.3203125,15745.48046875,3085.0400390625,586.0316162109375,82066422,119.51337432861328,58.176185607910156,14.81010627746582,27.915000915527344,13.857882800649346
2021-01-21,16153.76953125,15775.73046875,16238.4599609375,15775.73046875,3132.169921875,609.58160400390625,89019137,122.73358154296875,60.294891357421875,14.826841354370117,27.889999389648438,12.307835139356671
2021-01-22,16019.0302734375,15984.8896484375,16138.0400390625,15973.01953125,3074.39990234375,587.84332275390625,125179403,118.14112854003906,59.588649749755859,14.768268585205078,27.958799362182617,12.379744105916334
2021-01-25,15946.5400390625,16006.2099609375,16014.9599609375,15772.6298828125,3079.2099609375,573.35113525390625,93050133,119.40360260009766,58.617580413818359,14.85194206237793,27.95159912109375,16.421558388100465
2021-01-26,15658.849609375,15955.16015625,16023.8701171875,15589.2099609375,3031.77001953125,558.85870361328125,100153482,115.86318206787109,57.469940185546875,14.726432800292969,27.920000076293945,15.768083462223558
2021-01-27,15701.4501953125,15711.759765625,15837.4697265625,15642.1201171875,2875.1298828125,557.04718017578125,59985191,111.37137603759766,57.469940185546875,14.743168830871582,27.917999267578125,11.633847375931872
2021-01-28,15415.8798828125,15519.849609375,15557.01953125,15367.4501953125,2935.1201171875,544.36627197265625,96447533,115.113037109375,56.101612091064453,14.642760276794434,27.933000564575195,18.135626548429904
2021-01-29,15138.3095703125,15544.3603515625,15603.41015625,15138.3095703125,2887.080078125,535.30865478515625,90745237,111.17012786865234,55.792636871337891,14.433578491210938,27.932600021362305,16.017952944364588
2021-02-01,15410.08984375,15176.5595703125,15429.98046875,15089.9599609375,2999.989990234375,553.424072265625,67462398,115.87233734130859,56.763713836669922,14.483780860900879,28.000999450683594,17.253347544525855
2021-02-02,15760.0498046875,15546.6904296875,15838.150390625,15546.6904296875,3047.330078125,572.44525146484375,78429188,117.50074768066406,58.264457702636719,14.692961692810059,27.950300216674805,14.742192898075302
2021-02-03,15771.3203125,15828.6396484375,15896.400390625,15741.16015625,2982.8701171875,570.63372802734375,48738970,116.64080047607422,58.220317840576172,14.642760276794434,27.857999801635742,13.886692528956335
2021-02-04,15706.2197265625,15697.75,15801.3701171875,15606.740234375,3008.419921875,567.9163818359375,46371900,117.23544311523438,57.646511077880859,14.659496307373047,27.86400032043457,15.039767437906558
2021-02-05,15802.400390625,15805.759765625,15938.08984375,15774.33984375,2985.010009765625,572.44525146484375,53267273,116.89694213867188,58.264457702636719,14.684596061706543,27.902900695800781,13.958977204947608
2021-02-17,16362.2900390625,16197.4501953125,16406.779296875,16197.4501953125,3178.239990234375,600.5238037109375,107614290,124.66387176513672,60.559726715087891,15.00255298614502,28.040000915527344,16.417536051916915
2021-02-18,16424.509765625,16366.23046875,16517.73046875,16323.2197265625,3146.7900390625,597.806640625,53109010,123.16352844238281,60.603874206542969,15.102960586547852,27.918699264526367,15.039388232484141
2021-02-19,16341.3798828125,16376.91015625,16382.7001953125,16211.25,3223.4599609375,590.560546875,50279585,125.02068328857422,60.250751495361328,15.044387817382812,27.860799789428711,17.961697410098164
2021-02-22,16410.16015625,16445.869140625,16579.169921875,16410.16015625,3102.010009765625,588.7490234375,36474610,122.19384002685547,60.515590667724609,15.128061294555664,27.907800674438477,15.84431380294995
2021-02-23,16443.400390625,16320.8798828125,16467.75,16211.75,3083.8798828125,580.5970458984375,50076333,118.10454559326172,60.074192047119141,15.295409202575684,27.80940055847168,13.139280999849646
2021-02-24,16212.5302734375,16329.5400390625,16456.939453125,16212.5302734375,3183.739990234375,566.104736328125,66206750,121.031982421875,59.147262573242188,15.312142372131348,27.850200653076172,19.086267242782707
2021-02-25,16452.1796875,16376.7998046875,16474.05078125,16322.26953125,2999.159912109375,575.16253662109375,43231417,115.2685546875,59.632801055908203,15.56316089630127,27.649999618530273,10.826950303877748
2021-02-26,15953.7998046875,16190.0400390625,16190.0400390625,15953.7998046875,3067.6201171875,548.8951416015625,111861175,115.21369171142578,58.176185607910156,15.303775787353516,27.764999389648438,16.558075945548634
2021-03-02,15946.8798828125,16127.8701171875,16262.91015625,15946.8798828125,3070.93994140625,551.61260986328125,54041533,115.2685546875,58.087905883789062,15.287042617797852,27.819000244140625,16.26478052371132
